y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1,99.88558,-0.78795,-96.54505,-0.63323,199.67072,-89.64438,1,0.10388,1.36981,11.09455,-3.49487,True,451.15538
2,98.62823,-0.34918,-99.4773,-0.6383,198.40234,-90.70851,2,0.62187,-2.31829,8.87321,1.26229,True,443.40251
3,98.07893,-0.29079,-98.13996,-0.6861,197.88585,-89.32786,2,-0.63982,1.15431,11.86206,2.73511,True,441.32469
3,99.62099,-0.42186,-99.17242,-0.59933,199.39653,-88.84929,1,-1.15077,2.1686,9.87663,2.93509,True,448.51875
1,99.96833,0.04647,-105.15302,-0.64502,199.75719,-90.55073,1,-0.51528,-1.49196,11.82138,-3.2195,True,447.26516
3,101.39959,0.70943,-103.01296,-0.65929,201.21224,-92.05412,3,-0.83286,-0.17769,11.37961,-0.94479,True,455.49148
2,99.54238,0.48721,-105.06752,-0.65243,199.33564,-90.25473,1,0.17856,3.7017,12.3207,-0.70091,True,445.17816
1,101.02964,1.78018,-103.74024,-0.63895,200.81217,-90.91858,3,0.76438,1.38587,9.48504,-2.48068,True,453.27808
1,99.71534,-0.57686,-101.47701,-0.63953,199.49555,-91.53156,1,1.30525,-2.50406,12.42995,-2.69977,True,447.83821
1,99.69958,0.73602,-99.69115,-0.68449,199.50363,-89.54085,1,0.74783,0.8864,10.8203,-1.87085,True,448.65234
2,100.20697,0.36099,-96.28454,-0.64029,199.98118,-91.61091,4,-1.47639,-2.21476,11.78069,1.24178,True,452.89258
3,100.95288,-0.38529,-103.18763,-0.58528,200.73768,-91.39917,4,-0.43918,0.75139,12.16959,2.92697,True,453.17058
3,101.06911,0.58267,-99.03218,-0.66919,200.88676,-88.63778,3,-0.19546,-0.6266,10.45323,2.35555,True,455.82946
3,99.22691,-0.07888,-93.36779,-0.65757,199.03313,-90.90579,1,0.17487,0.44189,9.97359,2.77153,True,449.45066
1,100.30976,-0.78306,-101.93023,-0.66122,200.09966,-90.37881,4,-0.66579,-0.67707,10.44134,-2.20891,True,450.58371
2,100.1262,-0.86891,-98.56567,-0.62493,199.90576,-91.82481,4,-1.0819,-1.08569,12.99695,-1.51882,True,451.34817
3,100.95467,-0.78718,-105.25518,-0.61608,200.74553,-92.579,4,0.88568,0.37089,11.4578,2.35234,True,452.14574
1,99.90272,1.81334,-98.42941,-0.61682,199.67676,-89.83478,1,-0.05361,-0.61876,10.37939,-2.83854,True,450.29887
1,99.19916,-0.12052,-102.06999,-0.70193,199.00715,-89.9348,1,-1.07654,-1.65216,10.65147,-4.93646,True,444.96082
2,100.27236,0.16351,-97.759,-0.66259,200.07352,-91.46326,4,0.87958,2.18215,13.20629,-1.63258,True,452.4823
3,101.56591,0.37586,-100.07116,-0.66812,201.36626,-92.55875,3,-1.93639,-0.37909,13.81723,3.65794,True,457.79399
1,101.04774,0.58787,-97.97094,-0.7032,200.85463,-91.31914,3,-4.13568,0.78549,10.70299,-3.6492,True,456.25323
1,99.55803,-0.33885,-101.33038,-0.66722,199.35333,-89.43124,1,1.49253,0.39119,11.06158,-3.84422,True,447.12498
