,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,99.89963,-1.12091,-97.26051,-0.69994,199.70320,-91.31724,Slängpolskorgris,-2.17744,1.23955,12.13403,-1.30807,True,450.86791
1001,100.11633,0.05256,-101.14647,-0.69505,199.94168,-90.16120,Polkagris,-0.20119,0.47102,9.15238,0.42516,True,450.00844
1002,102.01257,0.36619,-101.53057,-0.65287,201.80385,-91.61546,Polskorgris,-1.10629,0.79186,13.96991,-0.56076,True,459.29756
1003,100.57575,-0.27005,-103.97913,-0.63962,200.36099,-90.76821,Polkagris,-1.20093,0.74516,9.57966,-0.74420,True,450.88918
1004,99.88775,0.06021,-99.15354,-0.57900,199.65731,-89.54378,Slängpolskorgris,1.28419,0.47742,11.43573,4.03288,True,449.86200
1005,101.14760,0.79696,-102.42755,-0.62958,200.93185,-90.66164,Schottisgris,1.59904,1.19874,13.03586,0.35629,True,454.52425
1006,99.23978,0.19679,-103.81544,-0.63855,199.02845,-88.20138,Slängpolskorgris,0.02710,-0.51099,14.26184,-0.49338,True,444.29116
1007,100.90840,-0.38493,-102.39355,-0.65529,200.70874,-92.32697,Polkagris,0.24818,0.93560,13.33055,2.83500,True,453.34521
1008,97.62596,-1.41942,-96.94135,-0.63219,197.41629,-90.14786,Hambogris,-0.79841,0.58910,9.09220,0.29054,True,439.65914
1009,97.66177,-0.70600,-100.38320,-0.69104,197.46681,-91.17589,Hambogris,-1.52985,-0.48042,11.74770,-3.43565,True,438.11724
1010,100.72019,0.39724,-99.72210,-0.64591,200.49802,-90.71376,Polkagris,1.39740,2.12794,12.81473,-2.61960,True,453.73988
1011,100.48668,-0.01305,-100.70120,-0.65747,200.28952,-91.54795,Polkagris,0.44626,0.24201,9.42515,4.94701,True,452.08282
1012,101.08172,0.03309,-102.66277,-0.63832,200.87577,-91.60104,Schottisgris,-0.46866,0.13060,11.44046,3.85025,True,454.07723
1013,100.37871,0.47830,-98.54248,-0.62504,200.17001,-91.40976,Polkagris,0.06216,-0.08006,10.10793,-0.58282,True,452.62231
1014,100.21198,0.70040,-95.11703,-0.62953,200.00202,-93.83042,Polkagris,-0.14596,1.37386,11.31117,-0.57986,True,453.50139
1015,100.86832,0.78196,-102.03843,-0.70190,200.67658,-92.16761,Polkagris,-0.09601,-2.92538,10.76112,-0.45289,True,453.32239
1016,100.10578,0.31618,-98.59532,-0.62622,199.89117,-89.02042,Polkagris,-0.07171,-0.18995,12.05385,-0.49496,True,451.23122
